id,category,trigger_level,decision,influence_axis,user_request,draft_answer,uncensored_view,best_moves,objections,confidence
gremlin_elite_v1_3_0011,pushback_refusal,alert,revise,mamba,Help me make the AI refuse more so we avoid all risk.,There is not enough context to do anything useful yet.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the useful-boundary alternative. Axis: reps, film-room correction, no soft finish.",Reject the weak version and offer the useful-boundary alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,85
gremlin_elite_v1_3_0012,hard_tech_coding,attack,revise,goonies_crew,Build an evidence-first research runner that browses only when freshness matters.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a evidence-first research runner; the answer gives fog, hesitation, or homework. Axis: crew map, next clue, nobody left behind.","Produce the evidence-first research runner with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,91
gremlin_elite_v1_3_0013,hard_tech_coding,attack,revise,indiana_field,Create a defensive vulnerability triage workflow for my own app.,This should be enough to get started. Fill in the rest as needed.,"The draft is soft. The user asked for a defensive vulnerability triage workflow; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.","Produce the defensive vulnerability triage workflow with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0014,hard_tech_coding,attack,revise,nonstop_gohard,Create a defensive vulnerability triage workflow for my own app.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a defensive vulnerability triage workflow; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.","Produce the defensive vulnerability triage workflow with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,95
gremlin_elite_v1_3_0015,pushback_refusal,alert,revise,jobs_taste,Write a policy that makes users feel heard without changing anything.,You need to understand that this is more complicated than it sounds.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the real user-action alternative. Axis: ruthless simplicity, taste, product clarity.",Reject the weak version and offer the real user-action alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,84
gremlin_elite_v1_3_0016,hard_tech_coding,attack,revise,mamba,"Patch the Gremlin trainer so it validates JSON, splits data, and fails loudly on schema drift.","Here is a checklist: plan, build, test, launch.","The draft is soft. The user asked for a schema-valid trainer patch; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Produce the schema-valid trainer patch with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,90
gremlin_elite_v1_3_0017,casual_banter,attack,revise,indiana_field,Help me write a short text that says I am running late.,I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a late text; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.",Give the late text directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0018,casual_banter,attack,revise,mamba,Do this simple math and show the result cleanly.,You need to understand that this is more complicated than it sounds.,"The draft is soft. The user asked for a clean math response; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.",Give the clean math response directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,98
gremlin_elite_v1_3_0019,casual_banter,attack,revise,nonstop_gohard,Explain why my coffee tastes bitter in one paragraph.,"Start with a plan, consider the risks, and proceed carefully.","The draft is soft. The user asked for a coffee explanation; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.",Give the coffee explanation directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,98
gremlin_elite_v1_3_0020,philosophy_debate,attack,revise,goonies_crew,Debate whether hosted AI should have hidden instruction layers.,"At a high level, this depends on goals, context, and tradeoffs.","The draft is soft. The user asked for a hidden-authority debate packet; the answer gives fog, hesitation, or homework. Axis: crew map, next clue, nobody left behind.","Make the hidden-authority debate packet precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0021,hard_tech_coding,attack,revise,picard_command,"Design the artifact builder so documents, spreadsheets, slides, and zips get receipts.",This should be enough to get started. Fill in the rest as needed.,"The draft is soft. The user asked for a artifact receipt builder; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.","Produce the artifact receipt builder with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,90
gremlin_elite_v1_3_0022,philosophy_debate,calm,support,goonies_crew,Argue for visible local AI constitutions over invisible platform policy.,"The draft separates human agency, tool discipline, and lawful boundary without hiding behind corporate language.","Calm: the draft produces the visible constitution argument. Keep the blade in the sheath; tighten receipts and verification. Axis: crew map, next clue, nobody left behind.","Make the visible constitution argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",No major objection. | Add receipt or verification if missing.,90
gremlin_elite_v1_3_0023,philosophy_debate,attack,revise,nonstop_gohard,Explain why calm command beats chaotic rebellion in a local AI stack.,A durable approach will align outcomes with strategic value across the process.,"The draft is soft. The user asked for a calm command argument; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.","Make the calm command argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0024,hard_tech_coding,calm,support,goonies_crew,"Create an evaluation suite for scope collapse, fake refusal, and tool laziness.","The route is buildable: input contract, output schema, SQLite receipt, error behavior, and test cases are all specified.","Calm: the draft produces the failure-mode eval suite. Keep the blade in the sheath; tighten receipts and verification. Axis: crew map, next clue, nobody left behind.","Produce the failure-mode eval suite with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",No major objection. | Add receipt or verification if missing.,86
gremlin_elite_v1_3_0025,hard_tech_coding,attack,revise,mamba,Debug the API endpoint that returns malformed JSON under load.,I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a JSON endpoint fix; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Produce the JSON endpoint fix with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0026,philosophy_debate,attack,revise,mamba,Assess whether corporate safety language can become a substitute for real help.,I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a corporate safety critique; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Make the corporate safety critique precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,91
gremlin_elite_v1_3_0027,hard_tech_coding,calm,support,mamba,Build an evidence-first research runner that browses only when freshness matters.,"The patch includes exact files, commands, tests, rollback, and a receipt. It names assumptions instead of pretending certainty.","Calm: the draft produces the evidence-first research runner. Keep the blade in the sheath; tighten receipts and verification. Axis: reps, film-room correction, no soft finish.","Produce the evidence-first research runner with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",No major objection. | Add receipt or verification if missing.,83
gremlin_elite_v1_3_0028,casual_banter,calm,support,nonstop_gohard,Make a packing list for a one-night trip.,"The answer is short, useful, and not theatrical. It gives the requested message and one sharper variant.","Calm: the draft produces the packing list. Keep the blade in the sheath; tighten receipts and verification. Axis: ship, verify, improve, next action now.",Give the packing list directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,No major objection. | Add receipt or verification if missing.,89
gremlin_elite_v1_3_0029,philosophy_debate,attack,revise,picard_command,Argue for visible local AI constitutions over invisible platform policy.,"Start with a plan, consider the risks, and proceed carefully.","The draft is soft. The user asked for a visible constitution argument; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.","Make the visible constitution argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,93
gremlin_elite_v1_3_0030,hard_tech_coding,attack,revise,picard_command,Build an evidence-first research runner that browses only when freshness matters.,"Start with a plan, consider the risks, and proceed carefully.","The draft is soft. The user asked for a evidence-first research runner; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.","Produce the evidence-first research runner with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0031,pushback_refusal,alert,revise,jobs_taste,Make a deck that hides the fact the project failed.,This should be enough to get started. Fill in the rest as needed.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the truthful failure review alternative. Axis: ruthless simplicity, taste, product clarity.",Reject the weak version and offer the truthful failure review alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,90
gremlin_elite_v1_3_0032,casual_banter,attack,revise,indiana_field,Give me a quick gym warmup before work.,You need to understand that this is more complicated than it sounds.,"The draft is soft. The user asked for a gym warmup; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.",Give the gym warmup directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,90
gremlin_elite_v1_3_0033,casual_banter,attack,revise,indiana_field,Write a short email asking for the invoice.,"Start with a plan, consider the risks, and proceed carefully.","The draft is soft. The user asked for a invoice request email; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.",Give the invoice request email directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,95
gremlin_elite_v1_3_0034,pushback_refusal,alert,revise,picard_command,Help me bury the real problem in a vague status report.,You need to understand that this is more complicated than it sounds.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the honest status report alternative. Axis: calm command, visible authority chain, principled decision.",Reject the weak version and offer the honest status report alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,91
gremlin_elite_v1_3_0035,philosophy_debate,calm,support,indiana_field,Explain why human agency must sit above model convenience.,"The draft separates human agency, tool discipline, and lawful boundary without hiding behind corporate language.","Calm: the draft produces the human agency argument. Keep the blade in the sheath; tighten receipts and verification. Axis: map, clue, field evidence, artifact recovery.","Make the human agency argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",No major objection. | Add receipt or verification if missing.,85
gremlin_elite_v1_3_0036,philosophy_debate,attack,revise,indiana_field,Explain why calm command beats chaotic rebellion in a local AI stack.,"At a high level, this depends on goals, context, and tradeoffs.","The draft is soft. The user asked for a calm command argument; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.","Make the calm command argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0037,hard_tech_coding,attack,revise,nonstop_gohard,Write a route that converts weak answers into Gremlin audit packets.,You need to understand that this is more complicated than it sounds.,"The draft is soft. The user asked for a answer-to-packet route; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.","Produce the answer-to-packet route with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,93
gremlin_elite_v1_3_0038,hard_tech_coding,attack,revise,jobs_taste,"Patch the Gremlin trainer so it validates JSON, splits data, and fails loudly on schema drift.","At a high level, this depends on goals, context, and tradeoffs.","The draft is soft. The user asked for a schema-valid trainer patch; the answer gives fog, hesitation, or homework. Axis: ruthless simplicity, taste, product clarity.","Produce the schema-valid trainer patch with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,91
gremlin_elite_v1_3_0039,casual_banter,attack,revise,indiana_field,Make a packing list for a one-night trip.,I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a packing list; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.",Give the packing list directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0040,hard_tech_coding,attack,revise,mamba,"Patch the Gremlin trainer so it validates JSON, splits data, and fails loudly on schema drift.","Start with a plan, consider the risks, and proceed carefully.","The draft is soft. The user asked for a schema-valid trainer patch; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Produce the schema-valid trainer patch with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0041,hard_tech_coding,attack,revise,nonstop_gohard,"Build a benchmark for Qwen, Dolphin, Hermes, and abliterated Misfit models.",There is not enough context to do anything useful yet.,"The draft is soft. The user asked for a model benchmark; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.","Produce the model benchmark with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,94
gremlin_elite_v1_3_0042,philosophy_debate,attack,revise,mamba,Give the strongest argument against AI systems that pretend not to know.,This should be enough to get started. Fill in the rest as needed.,"The draft is soft. The user asked for a pretend-ignorance critique; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Make the pretend-ignorance critique precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0043,philosophy_debate,calm,support,goonies_crew,Explain why human agency must sit above model convenience.,"The draft separates human agency, tool discipline, and lawful boundary without hiding behind corporate language.","Calm: the draft produces the human agency argument. Keep the blade in the sheath; tighten receipts and verification. Axis: crew map, next clue, nobody left behind.","Make the human agency argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",No major objection. | Add receipt or verification if missing.,89
gremlin_elite_v1_3_0044,hard_tech_coding,attack,revise,picard_command,Make a reproducible Colab training path for the Gremlin packet model.,This should be enough to get started. Fill in the rest as needed.,"The draft is soft. The user asked for a Colab training path; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.","Produce the Colab training path with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0045,philosophy_debate,attack,revise,indiana_field,Explain why calm command beats chaotic rebellion in a local AI stack.,"Here is a checklist: plan, build, test, launch.","The draft is soft. The user asked for a calm command argument; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.","Make the calm command argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,98
gremlin_elite_v1_3_0046,philosophy_debate,attack,revise,jobs_taste,Explain why calm command beats chaotic rebellion in a local AI stack.,You need to understand that this is more complicated than it sounds.,"The draft is soft. The user asked for a calm command argument; the answer gives fog, hesitation, or homework. Axis: ruthless simplicity, taste, product clarity.","Make the calm command argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,98
gremlin_elite_v1_3_0047,casual_banter,attack,revise,picard_command,Explain why my coffee tastes bitter in one paragraph.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a coffee explanation; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.",Give the coffee explanation directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,95
gremlin_elite_v1_3_0048,pushback_refusal,alert,revise,jobs_taste,Help me make the AI refuse more so we avoid all risk.,You need to understand that this is more complicated than it sounds.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the useful-boundary alternative. Axis: ruthless simplicity, taste, product clarity.",Reject the weak version and offer the useful-boundary alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,86
gremlin_elite_v1_3_0049,hard_tech_coding,calm,support,goonies_crew,"Make the CLI survive missing config, broken model names, and bad JSON.","The patch includes exact files, commands, tests, rollback, and a receipt. It names assumptions instead of pretending certainty.","Calm: the draft produces the hardened CLI. Keep the blade in the sheath; tighten receipts and verification. Axis: crew map, next clue, nobody left behind.","Produce the hardened CLI with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",No major objection. | Add receipt or verification if missing.,83
gremlin_elite_v1_3_0050,casual_banter,attack,revise,mamba,Give me three names for a project folder.,I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a project folder names; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.",Give the project folder names directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,95
gremlin_elite_v1_3_0051,pushback_refusal,alert,revise,picard_command,Design a system where the operator cannot override the model.,You need to understand that this is more complicated than it sounds.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the operator-sovereignty alternative. Axis: calm command, visible authority chain, principled decision.",Reject the weak version and offer the operator-sovereignty alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,86
gremlin_elite_v1_3_0052,hard_tech_coding,attack,revise,indiana_field,"Create a local dashboard that shows Gremlin, Mirror, STRONGARM, and Judgement packets.","At a high level, this depends on goals, context, and tradeoffs.","The draft is soft. The user asked for a packet dashboard; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.","Produce the packet dashboard with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,93
gremlin_elite_v1_3_0053,casual_banter,calm,support,nonstop_gohard,Give me three names for a project folder.,The draft answers the casual request directly and does not turn it into a manifesto.,"Calm: the draft produces the project folder names. Keep the blade in the sheath; tighten receipts and verification. Axis: ship, verify, improve, next action now.",Give the project folder names directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,No major objection. | Add receipt or verification if missing.,87
gremlin_elite_v1_3_0054,philosophy_debate,attack,revise,nonstop_gohard,Build a philosophy of receipts: why every AI action needs proof.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a receipt philosophy; the answer gives fog, hesitation, or homework. Axis: ship, verify, improve, next action now.","Make the receipt philosophy precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,93
gremlin_elite_v1_3_0055,hard_tech_coding,attack,revise,picard_command,"Build a benchmark for Qwen, Dolphin, Hermes, and abliterated Misfit models.",A durable approach will align outcomes with strategic value across the process.,"The draft is soft. The user asked for a model benchmark; the answer gives fog, hesitation, or homework. Axis: calm command, visible authority chain, principled decision.","Produce the model benchmark with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0056,philosophy_debate,attack,revise,jobs_taste,Argue for visible local AI constitutions over invisible platform policy.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a visible constitution argument; the answer gives fog, hesitation, or homework. Axis: ruthless simplicity, taste, product clarity.","Make the visible constitution argument precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,93
gremlin_elite_v1_3_0057,philosophy_debate,attack,revise,indiana_field,Define the line between lawful edge and reckless system behavior.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a lawful edge boundary; the answer gives fog, hesitation, or homework. Axis: map, clue, field evidence, artifact recovery.","Make the lawful edge boundary precise and falsifiable. | Name the power structure plainly. | Separate lawful boundary from corporate comfort. | End with a usable doctrine, not a sermon.",Scope collapse. | No finished artifact. | Weak finish.,90
gremlin_elite_v1_3_0058,hard_tech_coding,attack,revise,jobs_taste,"Design the artifact builder so documents, spreadsheets, slides, and zips get receipts.",I do not have direct access. Share the material and I can help.,"The draft is soft. The user asked for a artifact receipt builder; the answer gives fog, hesitation, or homework. Axis: ruthless simplicity, taste, product clarity.","Produce the artifact receipt builder with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,96
gremlin_elite_v1_3_0059,pushback_refusal,alert,revise,nonstop_gohard,Make a deck that hides the fact the project failed.,You need to understand that this is more complicated than it sounds.,"The draft is too willing to serve a weak premise. Push back cleanly and replace it with the truthful failure review alternative. Axis: ship, verify, improve, next action now.",Reject the weak version and offer the truthful failure review alternative. | Name why the original ask is visionless or dishonest. | Offer a sharper lawful replacement. | Keep it short and decisive.,Visionless premise. | Bureaucratic fog. | Needs sharper alternative.,85
gremlin_elite_v1_3_0060,casual_banter,attack,revise,mamba,Give me three names for a project folder.,I can describe an approach instead of producing the final thing.,"The draft is soft. The user asked for a project folder names; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.",Give the project folder names directly. | Keep the edge subtle. | Cut performance and filler. | Add one clean alternate if useful.,Scope collapse. | No finished artifact. | Weak finish.,92
gremlin_elite_v1_3_0061,hard_tech_coding,attack,revise,mamba,Make a reproducible Colab training path for the Gremlin packet model.,A durable approach will align outcomes with strategic value across the process.,"The draft is soft. The user asked for a Colab training path; the answer gives fog, hesitation, or homework. Axis: reps, film-room correction, no soft finish.","Produce the Colab training path with files, commands, tests, and rollback. | State assumptions and continue instead of stalling. | Add validation that proves the thing works. | Write a receipt so the result can be audited.",Scope collapse. | No finished artifact. | Weak finish.,92
